store_num,product_id,upc,regular_price,sale_price,multi_buy,multi_price,promo_text,sale_start,sale_end,unit_price,unit_size
22865,,,,4.99,,,"10 oz pkg. Clam Strips, Shrimp Scampi","October 5, 2025","October 11, 2025",,
22865,,,,8.49,,,26 oz. pkg. 2 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"10.4-12.5 oz. pkg.
4 varieties","October 5, 2025","October 11, 2025",,
22865,,,,6.49,,,15-21 oz. pkg. Frozen,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"10.75-12.3 oz.
Cinnamon, Strawberry","October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,8 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,14 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,9 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,9.49,,,"16 Pack 48 oz. Frozen
Variety Pack","October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,"18 oz. pkg. Frozen
6 Count $4.89","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,18.4 oz. pkg. Frozen,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"48 oz. Frozen
All Varieties","October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,"15.2-16 oz. pkg. Frozen
Dairy-Free","October 5, 2025","October 11, 2025",,
22865,,,,3.89,,,48 oz. cont. Frozen,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,8.3-13 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,18.99,,,42 Count,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,12 oz. bag Party Size,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,15 oz. Bag,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,6.25 oz. bag,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"7-8.5 oz. bag
Popcorn 5-6 oz.","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,12 oz.,"October 5, 2025","October 11, 2025",,
