"Store","Folder","Date","Action","Destination"
"trucchis","110525","2025-11-05","DRYRUN","D:\deals-4me-archive\flyers\trucchis\110525"
"trucchis","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\trucchis\110325"
"trucchis","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\trucchis\110225"
"trucchis","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\trucchis\110125"
"trucchis","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\trucchis\103025"
"trucchis","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\trucchis\102925"
"trucchis","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\trucchis\102625"
"wegmans","110525","2025-11-05","DRYRUN","D:\deals-4me-archive\flyers\wegmans\110525"
"wegmans","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\wegmans\110325"
"wegmans","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\wegmans\110225"
"wegmans","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\wegmans\110125"
"wegmans","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\wegmans\103025"
"wegmans","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\wegmans\102925"
"wegmans","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\wegmans\102625"
"wegmans","101225","2025-10-12","DRYRUN","D:\deals-4me-archive\flyers\wegmans\101225"
"whole_foods","110525","2025-11-05","DRYRUN","D:\deals-4me-archive\flyers\whole_foods\110525"
"whole_foods","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\whole_foods\110325"
"whole_foods","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\whole_foods\110225"
"whole_foods","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\whole_foods\110125"
"whole_foods","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\whole_foods\103025"
"whole_foods","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\whole_foods\102925"
"whole_foods","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\whole_foods\102625"
"whole_foods","101225","2025-10-12","DRYRUN","D:\deals-4me-archive\flyers\whole_foods\101225"
"whole_foods","100525","2025-10-05","DRYRUN","D:\deals-4me-archive\flyers\whole_foods\100525"
